Gen 37 - Best fitness: 730
Gen 38 - Best fitness: 700
Gen 39 - Best fitness: 500
Best timetable saved to timetable.json


2025-09-05 17:08:17 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Traceback (most recent call last):
  File "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py", line 151, in <module>
    population.sort(key=lambda ind: fitness(ind), reverse=True)
    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py", line 151, in <lambda>
    population.sort(key=lambda ind: fitness(ind), reverse=True)
                                    ~~~~~~~^^^^^
  File "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py", line 83, in fitness
    start_time = parse_time_str(start_str)
  File "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py", line 14, in parse_time_str
    return datetime.strptime(t_str, "%H:%M")
           ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File "C:\Users\Rijan\AppData\Local\Programs\Python\Python313\Lib\_strptime.py", line 789, in _strptime_datetime
    tt, fraction, gmtoff_fraction = _strptime(data_string, format)
                                    ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Rijan\AppData\Local\Programs\Python\Python313\Lib\_strptime.py", line 558, in _strptime
    raise ValueError("unconverted data remains: %s" %
                      data_string[found.end():])
ValueError: unconverted data remains:  AM 


2025-09-05 17:08:26 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Traceback (most recent call last):
  File "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py", line 151, in <module>
    population.sort(key=lambda ind: fitness(ind), reverse=True)
    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py", line 151, in <lambda>
